"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/12/2023 00:00";"0,705";"0,000";"0,597";"0,000";"0,437";"0,000";"1,739";"0,000";"0,000";"0,000";"0,000";"0,276";"0,705";"0,597";"0,437";"1,739";"0,000";"0,000";"0,000";
"01/12/2023 00:10";"0,813";"0,000";"0,684";"0,000";"0,515";"0,000";"2,011";"0,000";"0,104";"0,000";"0,000";"0,295";"0,813";"0,684";"0,515";"2,011";"0,000";"0,000";"0,000";
"01/12/2023 00:20";"0,660";"0,000";"0,570";"0,000";"0,407";"0,000";"1,637";"0,000";"0,020";"0,000";"0,000";"0,067";"0,660";"0,570";"0,407";"1,637";"0,000";"0,000";"0,000";
"01/12/2023 00:30";"0,697";"0,000";"0,567";"0,000";"0,391";"0,000";"1,655";"0,000";"0,000";"0,000";"0,000";"0,158";"0,697";"0,567";"0,391";"1,655";"0,000";"0,000";"0,000";
"01/12/2023 00:40";"1,379";"0,000";"0,780";"0,000";"0,541";"0,000";"2,700";"0,000";"0,034";"0,000";"0,000";"0,362";"1,379";"0,780";"0,541";"2,700";"0,000";"0,000";"0,000";
"01/12/2023 00:50";"0,806";"0,000";"0,569";"0,000";"0,381";"0,000";"1,756";"0,000";"0,001";"0,000";"0,000";"0,156";"0,806";"0,569";"0,381";"1,756";"0,000";"0,000";"0,000";
"01/12/2023 01:00";"0,657";"0,000";"0,562";"0,000";"0,382";"0,000";"1,601";"0,000";"0,000";"0,000";"0,000";"0,183";"0,657";"0,562";"0,382";"1,601";"0,000";"0,000";"0,000";
"01/12/2023 01:10";"1,158";"0,000";"0,773";"0,000";"0,604";"0,000";"2,535";"0,000";"0,050";"0,000";"0,000";"0,334";"1,158";"0,773";"0,604";"2,535";"0,000";"0,000";"0,000";
"01/12/2023 01:20";"0,769";"0,000";"0,582";"0,000";"0,338";"0,000";"1,690";"0,000";"0,001";"0,000";"0,000";"0,242";"0,769";"0,582";"0,338";"1,690";"0,000";"0,000";"0,000";
"01/12/2023 01:30";"0,806";"0,000";"0,729";"0,000";"0,565";"0,000";"2,100";"0,000";"0,132";"0,000";"0,000";"0,165";"0,806";"0,729";"0,565";"2,100";"0,000";"0,000";"0,000";
"01/12/2023 01:40";"0,701";"0,000";"0,585";"0,000";"0,422";"0,000";"1,707";"0,000";"0,000";"0,000";"0,000";"0,229";"0,701";"0,585";"0,422";"1,707";"0,000";"0,000";"0,000";
"01/12/2023 01:50";"0,681";"0,000";"0,545";"0,000";"0,381";"0,000";"1,607";"0,000";"0,000";"0,000";"0,000";"0,239";"0,681";"0,545";"0,381";"1,607";"0,000";"0,000";"0,000";
"01/12/2023 02:00";"0,795";"0,000";"0,720";"0,000";"0,600";"0,000";"2,114";"0,000";"0,032";"0,000";"0,000";"0,318";"0,795";"0,720";"0,600";"2,114";"0,000";"0,000";"0,000";
"01/12/2023 02:10";"0,658";"0,000";"0,558";"0,000";"0,408";"0,000";"1,624";"0,000";"0,000";"0,000";"0,000";"0,282";"0,658";"0,558";"0,408";"1,624";"0,000";"0,000";"0,000";
"01/12/2023 02:20";"1,412";"0,000";"0,813";"0,000";"0,587";"0,000";"2,812";"0,000";"0,078";"0,000";"0,000";"0,246";"1,412";"0,813";"0,587";"2,812";"0,000";"0,000";"0,000";
"01/12/2023 02:30";"1,333";"0,000";"0,831";"0,000";"0,380";"0,000";"2,544";"0,000";"0,000";"0,000";"0,000";"0,172";"1,333";"0,831";"0,380";"2,544";"0,000";"0,000";"0,000";
"01/12/2023 02:40";"1,017";"0,000";"0,798";"0,000";"0,343";"0,000";"2,157";"0,000";"0,002";"0,000";"0,000";"0,215";"1,017";"0,798";"0,343";"2,157";"0,000";"0,000";"0,000";
"01/12/2023 02:50";"0,843";"0,000";"0,719";"0,000";"0,602";"0,000";"2,164";"0,000";"0,045";"0,000";"0,000";"0,240";"0,843";"0,719";"0,602";"2,164";"0,000";"0,000";"0,000";
"01/12/2023 03:00";"0,757";"0,000";"0,565";"0,000";"0,404";"0,000";"1,726";"0,000";"0,008";"0,000";"0,000";"0,147";"0,757";"0,565";"0,404";"1,726";"0,000";"0,000";"0,000";
"01/12/2023 03:10";"1,146";"0,000";"0,757";"0,000";"0,485";"0,000";"2,388";"0,000";"0,030";"0,000";"0,000";"0,219";"1,146";"0,757";"0,485";"2,388";"0,000";"0,000";"0,000";
"01/12/2023 03:20";"0,915";"0,000";"0,670";"0,000";"0,518";"0,000";"2,104";"0,000";"0,003";"0,000";"0,000";"0,227";"0,915";"0,670";"0,518";"2,104";"0,000";"0,000";"0,000";
"01/12/2023 03:30";"0,753";"0,000";"0,589";"0,000";"0,410";"0,000";"1,752";"0,000";"0,013";"0,000";"0,000";"0,127";"0,753";"0,589";"0,410";"1,752";"0,000";"0,000";"0,000";
"01/12/2023 03:40";"1,125";"0,000";"0,742";"0,000";"0,585";"0,000";"2,452";"0,000";"0,117";"0,000";"0,000";"0,276";"1,125";"0,742";"0,585";"2,452";"0,000";"0,000";"0,000";
"01/12/2023 03:50";"1,071";"0,000";"0,728";"0,000";"0,376";"0,000";"2,174";"0,000";"0,000";"0,000";"0,000";"0,274";"1,071";"0,728";"0,376";"2,174";"0,000";"0,000";"0,000";
"01/12/2023 04:00";"0,785";"0,000";"0,578";"0,000";"0,413";"0,000";"1,776";"0,000";"0,020";"0,000";"0,000";"0,118";"0,785";"0,578";"0,413";"1,776";"0,000";"0,000";"0,000";
"01/12/2023 04:10";"1,002";"0,000";"0,759";"0,000";"0,586";"0,000";"2,347";"0,000";"0,119";"0,000";"0,000";"0,315";"1,002";"0,759";"0,586";"2,347";"0,000";"0,000";"0,000";
"01/12/2023 04:20";"1,361";"0,000";"0,765";"0,000";"0,390";"0,000";"2,515";"0,000";"0,000";"0,000";"0,000";"0,301";"1,361";"0,765";"0,390";"2,515";"0,000";"0,000";"0,000";
"01/12/2023 04:30";"0,867";"0,000";"0,715";"0,000";"0,533";"0,000";"2,114";"0,000";"0,141";"0,000";"0,000";"0,242";"0,867";"0,715";"0,533";"2,114";"0,000";"0,000";"0,000";
"01/12/2023 04:40";"0,670";"0,000";"0,582";"0,000";"0,403";"0,000";"1,655";"0,000";"0,000";"0,000";"0,000";"0,265";"0,670";"0,582";"0,403";"1,655";"0,000";"0,000";"0,000";
"01/12/2023 04:50";"1,084";"0,000";"0,774";"0,000";"0,602";"0,000";"2,461";"0,000";"0,041";"0,000";"0,000";"0,427";"1,084";"0,774";"0,602";"2,461";"0,000";"0,000";"0,000";
"01/12/2023 05:00";"0,887";"0,000";"0,679";"0,000";"0,339";"0,000";"1,905";"0,000";"0,001";"0,000";"0,000";"0,180";"0,887";"0,679";"0,339";"1,905";"0,000";"0,000";"0,000";
"01/12/2023 05:10";"0,689";"0,000";"0,589";"0,000";"0,402";"0,000";"1,680";"0,000";"0,000";"0,000";"0,000";"0,160";"0,689";"0,589";"0,402";"1,680";"0,000";"0,000";"0,000";
"01/12/2023 05:20";"0,965";"0,000";"0,848";"0,000";"0,676";"0,000";"2,489";"0,000";"0,065";"0,000";"0,000";"0,248";"0,965";"0,848";"0,676";"2,489";"0,000";"0,000";"0,000";
"01/12/2023 05:30";"1,921";"0,000";"1,286";"0,000";"0,875";"0,000";"4,082";"0,000";"0,001";"0,000";"0,000";"0,147";"1,921";"1,286";"0,875";"4,082";"0,000";"0,000";"0,000";
"01/12/2023 05:40";"2,745";"0,000";"2,063";"0,000";"1,950";"0,000";"6,758";"0,000";"0,431";"0,000";"0,000";"0,081";"2,745";"2,063";"1,950";"6,758";"0,000";"0,000";"0,000";
"01/12/2023 05:50";"2,249";"0,000";"1,673";"0,000";"1,473";"0,000";"5,395";"0,000";"0,165";"0,000";"0,000";"0,230";"2,249";"1,673";"1,473";"5,395";"0,000";"0,000";"0,000";
"01/12/2023 06:00";"2,552";"0,000";"1,829";"0,000";"1,587";"0,000";"5,969";"0,000";"0,535";"0,000";"0,000";"0,124";"2,552";"1,829";"1,587";"5,969";"0,000";"0,000";"0,000";
"01/12/2023 06:10";"4,921";"0,000";"3,537";"0,000";"4,288";"0,000";"12,746";"0,000";"0,684";"0,000";"0,000";"0,379";"4,921";"3,537";"4,288";"12,746";"0,000";"0,000";"0,000";
"01/12/2023 06:20";"5,925";"0,000";"4,823";"0,000";"5,755";"0,000";"16,502";"0,000";"1,688";"0,000";"0,000";"1,480";"5,925";"4,823";"5,755";"16,502";"0,000";"0,000";"0,000";
"01/12/2023 06:30";"7,179";"0,000";"6,347";"0,000";"6,955";"0,000";"20,481";"0,000";"1,647";"0,000";"0,000";"0,347";"7,179";"6,347";"6,955";"20,481";"0,000";"0,000";"0,000";
"01/12/2023 06:40";"8,333";"0,000";"7,575";"0,000";"7,878";"0,000";"23,786";"0,000";"2,041";"0,000";"0,000";"0,311";"8,333";"7,575";"7,878";"23,786";"0,000";"0,000";"0,000";
"01/12/2023 06:50";"8,463";"0,000";"7,402";"0,000";"7,731";"0,000";"23,596";"0,000";"1,380";"0,000";"0,000";"0,298";"8,463";"7,402";"7,731";"23,596";"0,000";"0,000";"0,000";
"01/12/2023 07:00";"7,336";"0,000";"6,336";"0,000";"7,216";"0,000";"20,888";"0,000";"1,143";"0,000";"0,000";"0,799";"7,336";"6,336";"7,216";"20,888";"0,000";"0,000";"0,000";
"01/12/2023 07:10";"6,425";"0,000";"5,711";"0,000";"6,486";"0,000";"18,622";"0,000";"1,859";"0,000";"0,000";"0,687";"6,425";"5,711";"6,486";"18,622";"0,000";"0,000";"0,000";
"01/12/2023 07:20";"6,331";"0,000";"5,463";"0,000";"6,253";"0,000";"18,047";"0,000";"1,310";"0,000";"0,000";"1,005";"6,331";"5,463";"6,253";"18,047";"0,000";"0,000";"0,000";
"01/12/2023 07:30";"6,446";"0,000";"5,504";"0,000";"6,102";"0,000";"18,053";"0,000";"0,895";"0,000";"0,000";"0,455";"6,446";"5,504";"6,102";"18,053";"0,000";"0,000";"0,000";
"01/12/2023 07:40";"6,325";"0,000";"5,666";"0,000";"6,316";"0,000";"18,308";"0,000";"1,452";"0,000";"0,000";"0,620";"6,325";"5,666";"6,316";"18,308";"0,000";"0,000";"0,000";
"01/12/2023 07:50";"6,384";"0,000";"5,682";"0,000";"6,325";"0,000";"18,390";"0,000";"1,141";"0,000";"0,000";"0,463";"6,384";"5,682";"6,325";"18,390";"0,000";"0,000";"0,000";
"01/12/2023 08:00";"7,423";"0,000";"6,295";"0,000";"6,717";"0,000";"20,435";"0,000";"1,104";"0,000";"0,000";"0,394";"7,423";"6,295";"6,717";"20,435";"0,000";"0,000";"0,000";
"01/12/2023 08:10";"7,053";"0,000";"6,371";"0,000";"6,764";"0,000";"20,188";"0,000";"1,366";"0,000";"0,000";"0,371";"7,053";"6,371";"6,764";"20,188";"0,000";"0,000";"0,000";
"01/12/2023 08:20";"9,270";"0,000";"8,583";"0,000";"9,059";"0,000";"26,911";"0,000";"2,241";"0,000";"0,000";"0,229";"9,270";"8,583";"9,059";"26,911";"0,000";"0,000";"0,000";
