"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/01/2024 00:00";"0,555";"0,000";"0,520";"0,000";"0,813";"0,000";"1,889";"0,000";"0,000";"0,000";"0,000";"0,273";"0,555";"0,520";"0,813";"1,889";"0,000";"0,000";"0,000";
"01/01/2024 00:10";"1,026";"0,000";"0,717";"0,000";"0,769";"0,000";"2,512";"0,000";"0,000";"0,000";"0,000";"0,290";"1,026";"0,717";"0,769";"2,512";"0,000";"0,000";"0,000";
"01/01/2024 00:20";"1,078";"0,000";"0,585";"0,000";"0,766";"0,000";"2,429";"0,000";"0,000";"0,000";"0,000";"0,241";"1,078";"0,585";"0,766";"2,429";"0,000";"0,000";"0,000";
"01/01/2024 00:30";"1,037";"0,000";"0,820";"0,000";"0,754";"0,000";"2,611";"0,000";"0,001";"0,000";"0,000";"0,243";"1,037";"0,820";"0,754";"2,611";"0,000";"0,000";"0,000";
"01/01/2024 00:40";"1,046";"0,000";"0,999";"0,000";"0,800";"0,000";"2,846";"0,000";"0,000";"0,000";"0,000";"0,263";"1,046";"0,999";"0,800";"2,846";"0,000";"0,000";"0,000";
"01/01/2024 00:50";"0,756";"0,000";"0,432";"0,000";"0,729";"0,000";"1,918";"0,000";"0,000";"0,000";"0,000";"0,256";"0,756";"0,432";"0,729";"1,918";"0,000";"0,000";"0,000";
"01/01/2024 01:00";"0,562";"0,000";"0,495";"0,000";"0,805";"0,000";"1,862";"0,000";"0,006";"0,000";"0,000";"0,200";"0,562";"0,495";"0,805";"1,862";"0,000";"0,000";"0,000";
"01/01/2024 01:10";"0,637";"0,000";"0,558";"0,000";"0,824";"0,000";"2,018";"0,000";"0,000";"0,000";"0,000";"0,267";"0,637";"0,558";"0,824";"2,018";"0,000";"0,000";"0,000";
"01/01/2024 01:20";"0,929";"0,000";"0,705";"0,000";"0,778";"0,000";"2,412";"0,000";"0,000";"0,000";"0,000";"0,231";"0,929";"0,705";"0,778";"2,412";"0,000";"0,000";"0,000";
"01/01/2024 01:30";"0,763";"0,000";"0,504";"0,000";"0,798";"0,000";"2,065";"0,000";"0,000";"0,000";"0,000";"0,223";"0,763";"0,504";"0,798";"2,065";"0,000";"0,000";"0,000";
"01/01/2024 01:40";"0,778";"0,000";"0,510";"0,000";"0,812";"0,000";"2,100";"0,000";"0,000";"0,000";"0,000";"0,281";"0,778";"0,510";"0,812";"2,100";"0,000";"0,000";"0,000";
"01/01/2024 01:50";"1,017";"0,000";"0,687";"0,000";"0,817";"0,000";"2,521";"0,000";"0,000";"0,000";"0,000";"0,304";"1,017";"0,687";"0,817";"2,521";"0,000";"0,000";"0,000";
"01/01/2024 02:00";"1,076";"0,000";"0,933";"0,000";"0,715";"0,000";"2,724";"0,000";"0,001";"0,000";"0,000";"0,136";"1,076";"0,933";"0,715";"2,724";"0,000";"0,000";"0,000";
"01/01/2024 02:10";"1,140";"0,000";"0,983";"0,000";"0,779";"0,000";"2,902";"0,000";"0,004";"0,000";"0,000";"0,046";"1,140";"0,983";"0,779";"2,902";"0,000";"0,000";"0,000";
"01/01/2024 02:20";"1,147";"0,000";"0,994";"0,000";"0,786";"0,000";"2,926";"0,000";"0,000";"0,000";"0,000";"0,209";"1,147";"0,994";"0,786";"2,926";"0,000";"0,000";"0,000";
"01/01/2024 02:30";"0,965";"0,000";"0,566";"0,000";"0,708";"0,000";"2,239";"0,000";"0,001";"0,000";"0,000";"0,169";"0,965";"0,566";"0,708";"2,239";"0,000";"0,000";"0,000";
"01/01/2024 02:40";"0,604";"0,000";"0,549";"0,000";"0,802";"0,000";"1,955";"0,000";"0,000";"0,000";"0,000";"0,238";"0,604";"0,549";"0,802";"1,955";"0,000";"0,000";"0,000";
"01/01/2024 02:50";"0,606";"0,000";"0,544";"0,000";"0,840";"0,000";"1,990";"0,000";"0,000";"0,000";"0,000";"0,248";"0,606";"0,544";"0,840";"1,990";"0,000";"0,000";"0,000";
"01/01/2024 03:00";"0,979";"0,000";"0,661";"0,000";"0,794";"0,000";"2,434";"0,000";"0,000";"0,000";"0,000";"0,248";"0,979";"0,661";"0,794";"2,434";"0,000";"0,000";"0,000";
"01/01/2024 03:10";"0,558";"0,000";"0,480";"0,000";"0,789";"0,000";"1,827";"0,000";"0,000";"0,000";"0,000";"0,310";"0,558";"0,480";"0,789";"1,827";"0,000";"0,000";"0,000";
"01/01/2024 03:20";"0,575";"0,000";"0,583";"0,000";"0,834";"0,000";"1,992";"0,000";"0,000";"0,000";"0,000";"0,266";"0,575";"0,583";"0,834";"1,992";"0,000";"0,000";"0,000";
"01/01/2024 03:30";"0,844";"0,000";"0,608";"0,000";"0,853";"0,000";"2,305";"0,000";"0,000";"0,000";"0,000";"0,260";"0,844";"0,608";"0,853";"2,305";"0,000";"0,000";"0,000";
