"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/02/2024 00:00";"0,694";"0,000";"0,615";"0,000";"0,724";"0,000";"2,034";"0,000";"0,000";"0,000";"0,000";"0,252";"0,694";"0,615";"0,724";"2,034";"0,000";"0,000";"0,000";
"01/02/2024 00:10";"0,746";"0,000";"0,689";"0,000";"0,843";"0,000";"2,279";"0,000";"0,115";"0,000";"0,000";"0,360";"0,746";"0,689";"0,843";"2,279";"0,000";"0,000";"0,000";
"01/02/2024 00:20";"0,639";"0,000";"0,618";"0,000";"0,654";"0,000";"1,911";"0,000";"0,000";"0,000";"0,000";"0,154";"0,639";"0,618";"0,654";"1,911";"0,000";"0,000";"0,000";
"01/02/2024 00:30";"0,563";"0,000";"0,573";"0,000";"0,612";"0,000";"1,748";"0,000";"0,000";"0,000";"0,000";"0,161";"0,563";"0,573";"0,612";"1,748";"0,000";"0,000";"0,000";
"01/02/2024 00:40";"0,785";"0,000";"0,780";"0,000";"0,874";"0,000";"2,440";"0,000";"0,034";"0,000";"0,000";"0,184";"0,785";"0,780";"0,874";"2,440";"0,000";"0,000";"0,000";
"01/02/2024 00:50";"0,589";"0,000";"0,563";"0,000";"0,614";"0,000";"1,766";"0,000";"0,000";"0,000";"0,000";"0,189";"0,589";"0,563";"0,614";"1,766";"0,000";"0,000";"0,000";
"01/02/2024 01:00";"0,616";"0,000";"0,620";"0,000";"0,679";"0,000";"1,916";"0,000";"0,000";"0,000";"0,000";"0,174";"0,616";"0,620";"0,679";"1,916";"0,000";"0,000";"0,000";
"01/02/2024 01:10";"0,877";"0,000";"0,783";"0,000";"0,865";"0,000";"2,526";"0,000";"0,140";"0,000";"0,000";"0,279";"0,877";"0,783";"0,865";"2,526";"0,000";"0,000";"0,000";
"01/02/2024 01:20";"1,007";"0,000";"0,701";"0,000";"0,617";"0,000";"2,325";"0,000";"0,000";"0,000";"0,000";"0,237";"1,007";"0,701";"0,617";"2,325";"0,000";"0,000";"0,000";
"01/02/2024 01:30";"0,659";"0,000";"0,638";"0,000";"0,681";"0,000";"1,977";"0,000";"0,000";"0,000";"0,000";"0,181";"0,659";"0,638";"0,681";"1,977";"0,000";"0,000";"0,000";
"01/02/2024 01:40";"0,701";"0,000";"0,691";"0,000";"0,771";"0,000";"2,163";"0,000";"0,059";"0,000";"0,000";"0,276";"0,701";"0,691";"0,771";"2,163";"0,000";"0,000";"0,000";
"01/02/2024 01:50";"0,623";"0,000";"0,648";"0,000";"0,686";"0,000";"1,958";"0,000";"0,000";"0,000";"0,000";"0,119";"0,623";"0,648";"0,686";"1,958";"0,000";"0,000";"0,000";
"01/02/2024 02:00";"0,675";"0,000";"0,606";"0,000";"0,702";"0,000";"1,982";"0,000";"0,003";"0,000";"0,000";"0,119";"0,675";"0,606";"0,702";"1,982";"0,000";"0,000";"0,000";
"01/02/2024 02:10";"0,778";"0,000";"0,746";"0,000";"0,819";"0,000";"2,343";"0,000";"0,106";"0,000";"0,000";"0,330";"0,778";"0,746";"0,819";"2,343";"0,000";"0,000";"0,000";
"01/02/2024 02:20";"0,626";"0,000";"0,641";"0,000";"0,667";"0,000";"1,933";"0,000";"0,000";"0,000";"0,000";"0,173";"0,626";"0,641";"0,667";"1,933";"0,000";"0,000";"0,000";
"01/02/2024 02:30";"0,583";"0,000";"0,518";"0,000";"0,641";"0,000";"1,742";"0,000";"0,000";"0,000";"0,000";"0,193";"0,583";"0,518";"0,641";"1,742";"0,000";"0,000";"0,000";
"01/02/2024 02:40";"0,733";"0,000";"0,777";"0,000";"0,839";"0,000";"2,350";"0,000";"0,048";"0,000";"0,000";"0,205";"0,733";"0,777";"0,839";"2,350";"0,000";"0,000";"0,000";
"01/02/2024 02:50";"0,678";"0,000";"0,638";"0,000";"0,714";"0,000";"2,029";"0,000";"0,013";"0,000";"0,000";"0,155";"0,678";"0,638";"0,714";"2,029";"0,000";"0,000";"0,000";
"01/02/2024 03:00";"1,058";"0,000";"0,716";"0,000";"0,691";"0,000";"2,466";"0,000";"0,000";"0,000";"0,000";"0,312";"1,058";"0,716";"0,691";"2,466";"0,000";"0,000";"0,000";
"01/02/2024 03:10";"0,786";"0,000";"0,777";"0,000";"0,847";"0,000";"2,410";"0,000";"0,044";"0,000";"0,000";"0,232";"0,786";"0,777";"0,847";"2,410";"0,000";"0,000";"0,000";
"01/02/2024 03:20";"0,693";"0,000";"0,644";"0,000";"0,776";"0,000";"2,112";"0,000";"0,055";"0,000";"0,000";"0,249";"0,693";"0,644";"0,776";"2,112";"0,000";"0,000";"0,000";
"01/02/2024 03:30";"0,679";"0,000";"0,684";"0,000";"0,771";"0,000";"2,134";"0,000";"0,000";"0,000";"0,000";"0,349";"0,679";"0,684";"0,771";"2,134";"0,000";"0,000";"0,000";
"01/02/2024 03:40";"0,841";"0,000";"0,692";"0,000";"0,811";"0,000";"2,345";"0,000";"0,088";"0,000";"0,000";"0,363";"0,841";"0,692";"0,811";"2,345";"0,000";"0,000";"0,000";
"01/02/2024 03:50";"0,727";"0,000";"0,684";"0,000";"0,796";"0,000";"2,206";"0,000";"0,032";"0,000";"0,000";"0,270";"0,727";"0,684";"0,796";"2,206";"0,000";"0,000";"0,000";
"01/02/2024 04:00";"0,659";"0,000";"0,660";"0,000";"0,752";"0,000";"2,071";"0,000";"0,000";"0,000";"0,000";"0,237";"0,659";"0,660";"0,752";"2,071";"0,000";"0,000";"0,000";
"01/02/2024 04:10";"1,076";"0,000";"0,773";"0,000";"0,791";"0,000";"2,640";"0,000";"0,069";"0,000";"0,000";"0,362";"1,076";"0,773";"0,791";"2,640";"0,000";"0,000";"0,000";
"01/02/2024 04:20";"0,858";"0,000";"0,701";"0,000";"0,927";"0,000";"2,486";"0,000";"0,092";"0,000";"0,000";"0,241";"0,858";"0,701";"0,927";"2,486";"0,000";"0,000";"0,000";
"01/02/2024 04:30";"0,767";"0,000";"0,677";"0,000";"0,741";"0,000";"2,185";"0,000";"0,000";"0,000";"0,000";"0,264";"0,767";"0,677";"0,741";"2,185";"0,000";"0,000";"0,000";
"01/02/2024 04:40";"0,800";"0,000";"0,689";"0,000";"0,773";"0,000";"2,262";"0,000";"0,025";"0,000";"0,000";"0,314";"0,800";"0,689";"0,773";"2,262";"0,000";"0,000";"0,000";
"01/02/2024 04:50";"0,918";"0,000";"0,754";"0,000";"0,852";"0,000";"2,524";"0,000";"0,008";"0,000";"0,000";"0,211";"0,918";"0,754";"0,852";"2,524";"0,000";"0,000";"0,000";
