"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/03/2024 00:00";"1,091";"0,000";"0,755";"0,000";"0,718";"0,000";"2,564";"0,000";"0,000";"0,000";"0,000";"0,179";"1,091";"0,755";"0,718";"2,564";"0,000";"0,000";"0,000";
"01/03/2024 00:10";"0,943";"0,000";"0,504";"0,000";"0,598";"0,000";"2,045";"0,000";"0,000";"0,000";"0,000";"0,306";"0,943";"0,504";"0,598";"2,045";"0,000";"0,000";"0,000";
"01/03/2024 00:20";"0,912";"0,000";"0,805";"0,000";"0,866";"0,000";"2,583";"0,000";"0,123";"0,000";"0,000";"0,162";"0,912";"0,805";"0,866";"2,583";"0,000";"0,000";"0,000";
"01/03/2024 00:30";"0,739";"0,000";"0,645";"0,000";"0,787";"0,000";"2,172";"0,000";"0,000";"0,000";"0,000";"0,126";"0,739";"0,645";"0,787";"2,172";"0,000";"0,000";"0,000";
"01/03/2024 00:40";"0,743";"0,000";"0,554";"0,000";"0,843";"0,000";"2,141";"0,000";"0,089";"0,000";"0,000";"0,226";"0,743";"0,554";"0,843";"2,141";"0,000";"0,000";"0,000";
"01/03/2024 00:50";"1,056";"0,000";"0,636";"0,000";"0,909";"0,000";"2,601";"0,000";"0,037";"0,000";"0,000";"0,197";"1,056";"0,636";"0,909";"2,601";"0,000";"0,000";"0,000";
"01/03/2024 01:00";"0,998";"0,000";"0,640";"0,000";"0,860";"0,000";"2,497";"0,000";"0,000";"0,000";"0,000";"0,127";"0,998";"0,640";"0,860";"2,497";"0,000";"0,000";"0,000";
"01/03/2024 01:10";"1,395";"0,000";"1,034";"0,000";"1,025";"0,000";"3,455";"0,000";"0,042";"0,000";"0,000";"0,189";"1,395";"1,034";"1,025";"3,455";"0,000";"0,000";"0,000";
"01/03/2024 01:20";"1,131";"0,000";"0,668";"0,000";"0,809";"0,000";"2,607";"0,000";"0,013";"0,000";"0,000";"0,295";"1,131";"0,668";"0,809";"2,607";"0,000";"0,000";"0,000";
"01/03/2024 01:30";"0,703";"0,000";"0,603";"0,000";"0,842";"0,000";"2,148";"0,000";"0,000";"0,000";"0,000";"0,293";"0,703";"0,603";"0,842";"2,148";"0,000";"0,000";"0,000";
"01/03/2024 01:40";"0,875";"0,000";"0,741";"0,000";"0,969";"0,000";"2,585";"0,000";"0,104";"0,000";"0,000";"0,221";"0,875";"0,741";"0,969";"2,585";"0,000";"0,000";"0,000";
