"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/04/2024 00:00";"0,795";"0,000";"0,511";"0,000";"0,801";"0,000";"2,107";"0,000";"0,000";"0,000";"0,000";"0,241";"0,795";"0,511";"0,801";"2,107";"0,000";"0,000";"0,000";
"01/04/2024 00:10";"0,512";"0,000";"0,509";"0,000";"0,848";"0,000";"1,869";"0,000";"0,000";"0,000";"0,000";"0,075";"0,512";"0,509";"0,848";"1,869";"0,000";"0,000";"0,000";
"01/04/2024 00:20";"0,479";"0,000";"0,370";"0,000";"0,745";"0,000";"1,594";"0,000";"0,003";"0,000";"0,000";"0,140";"0,479";"0,370";"0,745";"1,594";"0,000";"0,000";"0,000";
"01/04/2024 00:30";"0,591";"0,000";"0,519";"0,000";"0,853";"0,000";"1,963";"0,000";"0,012";"0,000";"0,000";"0,075";"0,591";"0,519";"0,853";"1,963";"0,000";"0,000";"0,000";
"01/04/2024 00:40";"0,615";"0,000";"0,476";"0,000";"0,810";"0,000";"1,901";"0,000";"0,013";"0,000";"0,000";"0,127";"0,615";"0,476";"0,810";"1,901";"0,000";"0,000";"0,000";
"01/04/2024 00:50";"0,633";"0,000";"0,486";"0,000";"0,839";"0,000";"1,958";"0,000";"0,017";"0,000";"0,000";"0,036";"0,633";"0,486";"0,839";"1,958";"0,000";"0,000";"0,000";
"01/04/2024 01:00";"0,871";"0,000";"0,569";"0,000";"0,884";"0,000";"2,323";"0,000";"0,000";"0,000";"0,000";"0,217";"0,871";"0,569";"0,884";"2,323";"0,000";"0,000";"0,000";
"01/04/2024 01:10";"0,824";"0,000";"0,478";"0,000";"0,753";"0,000";"2,055";"0,000";"0,000";"0,000";"0,000";"0,188";"0,824";"0,478";"0,753";"2,055";"0,000";"0,000";"0,000";
"01/04/2024 01:20";"0,517";"0,000";"0,516";"0,000";"0,840";"0,000";"1,872";"0,000";"0,002";"0,000";"0,000";"0,091";"0,517";"0,516";"0,840";"1,872";"0,000";"0,000";"0,000";
"01/04/2024 01:30";"0,508";"0,000";"0,489";"0,000";"0,851";"0,000";"1,847";"0,000";"0,001";"0,000";"0,000";"0,105";"0,508";"0,489";"0,851";"1,847";"0,000";"0,000";"0,000";
"01/04/2024 01:40";"0,509";"0,000";"0,486";"0,000";"0,827";"0,000";"1,822";"0,000";"0,000";"0,000";"0,000";"0,261";"0,509";"0,486";"0,827";"1,822";"0,000";"0,000";"0,000";
"01/04/2024 01:50";"0,537";"0,000";"0,468";"0,000";"0,786";"0,000";"1,791";"0,000";"0,006";"0,000";"0,000";"0,163";"0,537";"0,468";"0,786";"1,791";"0,000";"0,000";"0,000";
"01/04/2024 02:00";"0,745";"0,000";"0,434";"0,000";"0,762";"0,000";"1,941";"0,000";"0,001";"0,000";"0,000";"0,114";"0,745";"0,434";"0,762";"1,941";"0,000";"0,000";"0,000";
"01/04/2024 02:10";"0,592";"0,000";"0,469";"0,000";"0,760";"0,000";"1,821";"0,000";"0,013";"0,000";"0,000";"0,137";"0,592";"0,469";"0,760";"1,821";"0,000";"0,000";"0,000";
"01/04/2024 02:20";"0,504";"0,000";"0,473";"0,000";"0,844";"0,000";"1,822";"0,000";"0,000";"0,000";"0,000";"0,074";"0,504";"0,473";"0,844";"1,822";"0,000";"0,000";"0,000";
"01/04/2024 02:30";"0,910";"0,000";"0,549";"0,000";"0,836";"0,000";"2,294";"0,000";"0,000";"0,000";"0,000";"0,099";"0,910";"0,549";"0,836";"2,294";"0,000";"0,000";"0,000";
"01/04/2024 02:40";"0,717";"0,000";"0,467";"0,000";"0,785";"0,000";"1,969";"0,000";"0,000";"0,000";"0,000";"0,184";"0,717";"0,467";"0,785";"1,969";"0,000";"0,000";"0,000";
"01/04/2024 02:50";"0,491";"0,000";"0,505";"0,000";"0,835";"0,000";"1,831";"0,000";"0,012";"0,000";"0,000";"0,087";"0,491";"0,505";"0,835";"1,831";"0,000";"0,000";"0,000";
"01/04/2024 03:00";"0,558";"0,000";"0,514";"0,000";"0,866";"0,000";"1,938";"0,000";"0,002";"0,000";"0,000";"0,173";"0,558";"0,514";"0,866";"1,938";"0,000";"0,000";"0,000";
"01/04/2024 03:10";"0,737";"0,000";"0,442";"0,000";"0,800";"0,000";"1,978";"0,000";"0,000";"0,000";"0,000";"0,236";"0,737";"0,442";"0,800";"1,978";"0,000";"0,000";"0,000";
"01/04/2024 03:20";"0,506";"0,000";"0,539";"0,000";"0,848";"0,000";"1,893";"0,000";"0,000";"0,000";"0,000";"0,166";"0,506";"0,539";"0,848";"1,893";"0,000";"0,000";"0,000";
