"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/05/2024 00:00";"0,597";"0,000";"0,397";"0,000";"0,536";"0,000";"1,530";"0,000";"0,000";"0,000";"0,000";"0,173";"0,597";"0,397";"0,536";"1,530";"0,000";"0,000";"0,000";
"01/05/2024 00:10";"0,520";"0,000";"0,529";"0,000";"0,724";"0,000";"1,773";"0,000";"0,000";"0,000";"0,000";"0,243";"0,520";"0,529";"0,724";"1,773";"0,000";"0,000";"0,000";
"01/05/2024 00:20";"0,381";"0,000";"0,387";"0,000";"0,621";"0,000";"1,389";"0,000";"0,000";"0,000";"0,000";"0,176";"0,381";"0,387";"0,621";"1,389";"0,000";"0,000";"0,000";
"01/05/2024 00:30";"0,453";"0,000";"0,428";"0,000";"0,673";"0,000";"1,554";"0,000";"0,007";"0,000";"0,000";"0,150";"0,453";"0,428";"0,673";"1,554";"0,000";"0,000";"0,000";
"01/05/2024 00:40";"0,512";"0,000";"0,516";"0,000";"0,765";"0,000";"1,793";"0,000";"0,000";"0,000";"0,000";"0,226";"0,512";"0,516";"0,765";"1,793";"0,000";"0,000";"0,000";
"01/05/2024 00:50";"0,570";"0,000";"0,480";"0,000";"0,750";"0,000";"1,801";"0,000";"0,013";"0,000";"0,000";"0,100";"0,570";"0,480";"0,750";"1,801";"0,000";"0,000";"0,000";
"01/05/2024 01:00";"0,642";"0,000";"0,382";"0,000";"0,659";"0,000";"1,684";"0,000";"0,000";"0,000";"0,000";"0,175";"0,642";"0,382";"0,659";"1,684";"0,000";"0,000";"0,000";
"01/05/2024 01:10";"0,693";"0,000";"0,449";"0,000";"0,728";"0,000";"1,869";"0,000";"0,000";"0,000";"0,000";"0,206";"0,693";"0,449";"0,728";"1,869";"0,000";"0,000";"0,000";
"01/05/2024 01:20";"0,629";"0,000";"0,409";"0,000";"0,660";"0,000";"1,699";"0,000";"0,000";"0,000";"0,000";"0,165";"0,629";"0,409";"0,660";"1,699";"0,000";"0,000";"0,000";
"01/05/2024 01:30";"0,414";"0,000";"0,446";"0,000";"0,704";"0,000";"1,565";"0,000";"0,000";"0,000";"0,000";"0,217";"0,414";"0,446";"0,704";"1,565";"0,000";"0,000";"0,000";
"01/05/2024 01:40";"0,532";"0,000";"0,514";"0,000";"0,772";"0,000";"1,818";"0,000";"0,000";"0,000";"0,000";"0,230";"0,532";"0,514";"0,772";"1,818";"0,000";"0,000";"0,000";
"01/05/2024 01:50";"0,443";"0,000";"0,462";"0,000";"0,721";"0,000";"1,626";"0,000";"0,000";"0,000";"0,000";"0,191";"0,443";"0,462";"0,721";"1,626";"0,000";"0,000";"0,000";
"01/05/2024 02:00";"0,500";"0,000";"0,473";"0,000";"0,732";"0,000";"1,705";"0,000";"0,000";"0,000";"0,000";"0,235";"0,500";"0,473";"0,732";"1,705";"0,000";"0,000";"0,000";
"01/05/2024 02:10";"0,497";"0,000";"0,539";"0,000";"0,767";"0,000";"1,802";"0,000";"0,000";"0,000";"0,000";"0,202";"0,497";"0,539";"0,767";"1,802";"0,000";"0,000";"0,000";
"01/05/2024 02:20";"0,813";"0,000";"0,413";"0,000";"0,692";"0,000";"1,918";"0,000";"0,000";"0,000";"0,000";"0,212";"0,813";"0,413";"0,692";"1,918";"0,000";"0,000";"0,000";
"01/05/2024 02:30";"0,500";"0,000";"0,500";"0,000";"0,750";"0,000";"1,750";"0,000";"0,000";"0,000";"0,000";"0,230";"0,500";"0,500";"0,750";"1,750";"0,000";"0,000";"0,000";
"01/05/2024 02:40";"0,655";"0,000";"0,397";"0,000";"0,653";"0,000";"1,705";"0,000";"0,000";"0,000";"0,000";"0,181";"0,655";"0,397";"0,653";"1,705";"0,000";"0,000";"0,000";
"01/05/2024 02:50";"0,485";"0,000";"0,400";"0,000";"0,654";"0,000";"1,538";"0,000";"0,000";"0,000";"0,000";"0,184";"0,485";"0,400";"0,654";"1,538";"0,000";"0,000";"0,000";
"01/05/2024 03:00";"0,813";"0,000";"0,549";"0,000";"0,784";"0,000";"2,146";"0,000";"0,002";"0,000";"0,000";"0,096";"0,813";"0,549";"0,784";"2,146";"0,000";"0,000";"0,000";
"01/05/2024 03:10";"0,745";"0,000";"0,445";"0,000";"0,652";"0,000";"1,842";"0,000";"0,000";"0,000";"0,000";"0,188";"0,745";"0,445";"0,652";"1,842";"0,000";"0,000";"0,000";
"01/05/2024 03:20";"0,502";"0,000";"0,545";"0,000";"0,769";"0,000";"1,815";"0,000";"0,000";"0,000";"0,000";"0,242";"0,502";"0,545";"0,769";"1,815";"0,000";"0,000";"0,000";
"01/05/2024 03:30";"0,702";"0,000";"0,527";"0,000";"0,736";"0,000";"1,966";"0,000";"0,000";"0,000";"0,000";"0,211";"0,702";"0,527";"0,736";"1,966";"0,000";"0,000";"0,000";
"01/05/2024 03:40";"0,459";"0,000";"0,445";"0,000";"0,728";"0,000";"1,632";"0,000";"0,000";"0,000";"0,000";"0,233";"0,459";"0,445";"0,728";"1,632";"0,000";"0,000";"0,000";
"01/05/2024 03:50";"0,434";"0,000";"0,446";"0,000";"0,673";"0,000";"1,553";"0,000";"0,000";"0,000";"0,000";"0,166";"0,434";"0,446";"0,673";"1,553";"0,000";"0,000";"0,000";
"01/05/2024 04:00";"0,500";"0,000";"0,519";"0,000";"0,763";"0,000";"1,782";"0,000";"0,000";"0,000";"0,000";"0,256";"0,500";"0,519";"0,763";"1,782";"0,000";"0,000";"0,000";
"01/05/2024 04:10";"0,422";"0,000";"0,400";"0,000";"0,653";"0,000";"1,475";"0,000";"0,000";"0,000";"0,000";"0,162";"0,422";"0,400";"0,653";"1,475";"0,000";"0,000";"0,000";
"01/05/2024 04:20";"0,419";"0,000";"0,421";"0,000";"0,652";"0,000";"1,493";"0,000";"0,001";"0,000";"0,000";"0,186";"0,419";"0,421";"0,652";"1,493";"0,000";"0,000";"0,000";
"01/05/2024 04:30";"0,858";"0,000";"0,526";"0,000";"0,683";"0,000";"2,067";"0,000";"0,002";"0,000";"0,000";"0,077";"0,858";"0,526";"0,683";"2,067";"0,000";"0,000";"0,000";
"01/05/2024 04:40";"1,103";"0,000";"0,461";"0,000";"0,588";"0,000";"2,152";"0,000";"0,002";"0,000";"0,000";"0,190";"1,103";"0,461";"0,588";"2,152";"0,000";"0,000";"0,000";
"01/05/2024 04:50";"0,532";"0,000";"0,543";"0,000";"0,681";"0,000";"1,755";"0,000";"0,000";"0,000";"0,000";"0,225";"0,532";"0,543";"0,681";"1,755";"0,000";"0,000";"0,000";
"01/05/2024 05:00";"0,462";"0,000";"0,460";"0,000";"0,652";"0,000";"1,575";"0,000";"0,002";"0,000";"0,000";"0,148";"0,462";"0,460";"0,652";"1,575";"0,000";"0,000";"0,000";
"01/05/2024 05:10";"0,517";"0,000";"0,508";"0,000";"0,673";"0,000";"1,698";"0,000";"0,006";"0,000";"0,000";"0,073";"0,517";"0,508";"0,673";"1,698";"0,000";"0,000";"0,000";
"01/05/2024 05:20";"0,490";"0,000";"0,512";"0,000";"0,639";"0,000";"1,642";"0,000";"0,003";"0,000";"0,000";"0,151";"0,490";"0,512";"0,639";"1,642";"0,000";"0,000";"0,000";
"01/05/2024 05:30";"0,522";"0,000";"0,505";"0,000";"0,694";"0,000";"1,721";"0,000";"0,004";"0,000";"0,000";"0,121";"0,522";"0,505";"0,694";"1,721";"0,000";"0,000";"0,000";
"01/05/2024 05:40";"0,799";"0,000";"0,599";"0,000";"0,691";"0,000";"2,089";"0,000";"0,000";"0,000";"0,000";"0,214";"0,799";"0,599";"0,691";"2,089";"0,000";"0,000";"0,000";
"01/05/2024 05:50";"0,599";"0,000";"0,380";"0,000";"0,569";"0,000";"1,548";"0,000";"0,000";"0,000";"0,000";"0,200";"0,599";"0,380";"0,569";"1,548";"0,000";"0,000";"0,000";
"01/05/2024 06:00";"0,518";"0,000";"0,574";"0,000";"0,699";"0,000";"1,792";"0,000";"0,000";"0,000";"0,000";"0,227";"0,518";"0,574";"0,699";"1,792";"0,000";"0,000";"0,000";
"01/05/2024 06:10";"0,467";"0,000";"0,427";"0,000";"0,617";"0,000";"1,511";"0,000";"0,000";"0,000";"0,000";"0,186";"0,467";"0,427";"0,617";"1,511";"0,000";"0,000";"0,000";
"01/05/2024 06:20";"0,507";"0,000";"0,526";"0,000";"0,698";"0,000";"1,731";"0,000";"0,000";"0,000";"0,000";"0,146";"0,507";"0,526";"0,698";"1,731";"0,000";"0,000";"0,000";
"01/05/2024 06:30";"0,649";"0,000";"0,496";"0,000";"0,663";"0,000";"1,808";"0,000";"0,001";"0,000";"0,000";"0,090";"0,649";"0,496";"0,663";"1,808";"0,000";"0,000";"0,000";
"01/05/2024 06:40";"0,821";"0,000";"0,523";"0,000";"0,658";"0,000";"2,003";"0,000";"0,001";"0,000";"0,000";"0,218";"0,821";"0,523";"0,658";"2,003";"0,000";"0,000";"0,000";
"01/05/2024 06:50";"0,747";"0,000";"0,479";"0,000";"0,659";"0,000";"1,885";"0,000";"0,001";"0,000";"0,000";"0,188";"0,747";"0,479";"0,659";"1,885";"0,000";"0,000";"0,000";
"01/05/2024 07:00";"0,633";"0,000";"0,488";"0,000";"0,666";"0,000";"1,787";"0,000";"0,011";"0,000";"0,000";"0,079";"0,633";"0,488";"0,666";"1,787";"0,000";"0,000";"0,000";
"01/05/2024 07:10";"0,478";"0,000";"0,365";"0,000";"0,538";"0,000";"1,381";"0,000";"0,003";"0,000";"0,000";"0,146";"0,478";"0,365";"0,538";"1,381";"0,000";"0,000";"0,000";
"01/05/2024 07:20";"0,421";"0,000";"0,377";"0,000";"0,564";"0,000";"1,362";"0,000";"0,000";"0,000";"0,000";"0,192";"0,421";"0,377";"0,564";"1,362";"0,000";"0,000";"0,000";
"01/05/2024 07:30";"0,262";"0,000";"0,283";"0,000";"0,444";"0,000";"0,990";"0,000";"0,000";"0,000";"0,000";"0,072";"0,262";"0,283";"0,444";"0,990";"0,000";"0,000";"0,000";
"01/05/2024 07:40";"0,312";"0,000";"0,248";"0,000";"0,470";"0,000";"1,030";"0,000";"0,003";"0,000";"0,000";"0,085";"0,312";"0,248";"0,470";"1,030";"0,000";"0,000";"0,000";
"01/05/2024 07:50";"0,647";"0,000";"0,338";"0,000";"0,546";"0,000";"1,531";"0,000";"0,043";"0,000";"0,000";"0,010";"0,647";"0,338";"0,546";"1,531";"0,000";"0,000";"0,000";
"01/05/2024 08:00";"0,760";"0,000";"0,347";"0,000";"0,539";"0,000";"1,646";"0,000";"0,012";"0,000";"0,000";"0,073";"0,760";"0,347";"0,539";"1,646";"0,000";"0,000";"0,000";
"01/05/2024 08:10";"0,628";"0,000";"0,328";"0,000";"0,561";"0,000";"1,517";"0,000";"0,000";"0,000";"0,000";"0,118";"0,628";"0,328";"0,561";"1,517";"0,000";"0,000";"0,000";
