"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/06/2024 00:00";"0,614";"0,000";"0,370";"0,000";"0,550";"0,000";"1,534";"0,000";"0,000";"0,000";"0,000";"0,252";"0,614";"0,370";"0,550";"1,534";"0,000";"0,000";"0,000";
"01/06/2024 00:10";"0,554";"0,000";"0,435";"0,000";"0,589";"0,000";"1,579";"0,000";"0,000";"0,000";"0,000";"0,197";"0,554";"0,435";"0,589";"1,579";"0,000";"0,000";"0,000";
"01/06/2024 00:20";"0,439";"0,000";"0,434";"0,000";"0,636";"0,000";"1,510";"0,000";"0,000";"0,000";"0,000";"0,155";"0,439";"0,434";"0,636";"1,510";"0,000";"0,000";"0,000";
"01/06/2024 00:30";"0,381";"0,000";"0,387";"0,000";"0,552";"0,000";"1,320";"0,000";"0,000";"0,000";"0,000";"0,231";"0,381";"0,387";"0,552";"1,320";"0,000";"0,000";"0,000";
"01/06/2024 00:40";"0,379";"0,000";"0,386";"0,000";"0,551";"0,000";"1,315";"0,000";"0,000";"0,000";"0,000";"0,234";"0,379";"0,386";"0,551";"1,315";"0,000";"0,000";"0,000";
"01/06/2024 00:50";"0,435";"0,000";"0,429";"0,000";"0,602";"0,000";"1,466";"0,000";"0,000";"0,000";"0,000";"0,171";"0,435";"0,429";"0,602";"1,466";"0,000";"0,000";"0,000";
"01/06/2024 01:00";"0,498";"0,000";"0,378";"0,000";"0,345";"0,000";"1,222";"0,000";"0,000";"0,000";"0,000";"0,216";"0,498";"0,378";"0,345";"1,222";"0,000";"0,000";"0,000";
"01/06/2024 01:10";"0,382";"0,000";"0,390";"0,000";"0,249";"0,000";"1,021";"0,000";"0,000";"0,000";"0,000";"0,199";"0,382";"0,390";"0,249";"1,021";"0,000";"0,000";"0,000";
"01/06/2024 01:20";"0,423";"0,000";"0,446";"0,000";"0,307";"0,000";"1,176";"0,000";"0,000";"0,000";"0,000";"0,156";"0,423";"0,446";"0,307";"1,176";"0,000";"0,000";"0,000";
"01/06/2024 01:30";"0,488";"0,000";"0,428";"0,000";"0,321";"0,000";"1,237";"0,000";"0,000";"0,000";"0,000";"0,150";"0,488";"0,428";"0,321";"1,237";"0,000";"0,000";"0,000";
"01/06/2024 01:40";"0,359";"0,000";"0,380";"0,000";"0,249";"0,000";"0,988";"0,000";"0,000";"0,000";"0,000";"0,218";"0,359";"0,380";"0,249";"0,988";"0,000";"0,000";"0,000";
"01/06/2024 01:50";"0,436";"0,000";"0,444";"0,000";"0,289";"0,000";"1,170";"0,000";"0,000";"0,000";"0,000";"0,162";"0,436";"0,444";"0,289";"1,170";"0,000";"0,000";"0,000";
"01/06/2024 02:00";"0,576";"0,000";"0,416";"0,000";"0,312";"0,000";"1,304";"0,000";"0,000";"0,000";"0,000";"0,163";"0,576";"0,416";"0,312";"1,304";"0,000";"0,000";"0,000";
"01/06/2024 02:10";"0,622";"0,000";"0,367";"0,000";"0,251";"0,000";"1,240";"0,000";"0,000";"0,000";"0,000";"0,222";"0,622";"0,367";"0,251";"1,240";"0,000";"0,000";"0,000";
"01/06/2024 02:20";"0,575";"0,000";"0,448";"0,000";"0,299";"0,000";"1,322";"0,000";"0,000";"0,000";"0,000";"0,229";"0,575";"0,448";"0,299";"1,322";"0,000";"0,000";"0,000";
"01/06/2024 02:30";"0,477";"0,000";"0,370";"0,000";"0,247";"0,000";"1,093";"0,000";"0,000";"0,000";"0,000";"0,228";"0,477";"0,370";"0,247";"1,093";"0,000";"0,000";"0,000";
