"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/07/2024 00:00";"0,725";"0,000";"0,709";"0,000";"0,651";"0,000";"2,085";"0,000";"0,326";"0,000";"0,000";"0,045";"0,725";"0,709";"0,651";"2,085";"0,000";"0,000";"0,000";
"01/07/2024 00:10";"0,528";"0,000";"0,452";"0,000";"0,383";"0,000";"1,363";"0,000";"0,332";"0,000";"0,000";"0,014";"0,528";"0,452";"0,383";"1,363";"0,000";"0,000";"0,000";
"01/07/2024 00:20";"0,551";"0,000";"0,431";"0,000";"0,418";"0,000";"1,400";"0,000";"0,187";"0,000";"0,000";"0,000";"0,551";"0,431";"0,418";"1,400";"0,000";"0,000";"0,000";
"01/07/2024 00:30";"0,733";"0,000";"0,662";"0,000";"0,590";"0,000";"1,985";"0,000";"0,322";"0,000";"0,000";"0,010";"0,733";"0,662";"0,590";"1,985";"0,000";"0,000";"0,000";
"01/07/2024 00:40";"0,895";"0,000";"0,835";"0,000";"0,790";"0,000";"2,520";"0,000";"0,407";"0,000";"0,000";"0,021";"0,895";"0,835";"0,790";"2,520";"0,000";"0,000";"0,000";
"01/07/2024 00:50";"0,763";"0,000";"0,795";"0,000";"0,713";"0,000";"2,271";"0,000";"0,300";"0,000";"0,000";"0,027";"0,763";"0,795";"0,713";"2,271";"0,000";"0,000";"0,000";
"01/07/2024 01:00";"0,637";"0,000";"0,618";"0,000";"0,601";"0,000";"1,856";"0,000";"0,229";"0,000";"0,000";"0,006";"0,637";"0,618";"0,601";"1,856";"0,000";"0,000";"0,000";
"01/07/2024 01:10";"0,593";"0,000";"0,631";"0,000";"0,564";"0,000";"1,787";"0,000";"0,253";"0,000";"0,000";"0,015";"0,593";"0,631";"0,564";"1,787";"0,000";"0,000";"0,000";
"01/07/2024 01:20";"0,623";"0,000";"0,625";"0,000";"0,573";"0,000";"1,821";"0,000";"0,330";"0,000";"0,000";"0,025";"0,623";"0,625";"0,573";"1,821";"0,000";"0,000";"0,000";
"01/07/2024 01:30";"0,502";"0,000";"0,555";"0,000";"0,473";"0,000";"1,530";"0,000";"0,239";"0,000";"0,000";"0,004";"0,502";"0,555";"0,473";"1,530";"0,000";"0,000";"0,000";
"01/07/2024 01:40";"0,758";"0,000";"0,561";"0,000";"0,489";"0,000";"1,809";"0,000";"0,245";"0,000";"0,000";"0,028";"0,758";"0,561";"0,489";"1,809";"0,000";"0,000";"0,000";
