"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/08/2024 00:00";"0,441";"0,000";"0,419";"0,000";"0,471";"0,000";"1,332";"0,000";"0,000";"0,000";"0,000";"0,255";"0,441";"0,419";"0,471";"1,332";"0,000";"0,000";"0,000";
"01/08/2024 00:10";"0,503";"0,000";"0,431";"0,000";"0,442";"0,000";"1,376";"0,000";"0,000";"0,000";"0,000";"0,201";"0,503";"0,431";"0,442";"1,376";"0,000";"0,000";"0,000";
"01/08/2024 00:20";"0,476";"0,000";"0,426";"0,000";"0,315";"0,000";"1,218";"0,000";"0,000";"0,000";"0,000";"0,262";"0,476";"0,426";"0,315";"1,218";"0,000";"0,000";"0,000";
"01/08/2024 00:30";"0,508";"0,000";"0,467";"0,000";"0,315";"0,000";"1,290";"0,000";"0,000";"0,000";"0,000";"0,189";"0,508";"0,467";"0,315";"1,290";"0,000";"0,000";"0,000";
"01/08/2024 00:40";"0,514";"0,000";"0,397";"0,000";"0,314";"0,000";"1,225";"0,000";"0,000";"0,000";"0,000";"0,226";"0,514";"0,397";"0,314";"1,225";"0,000";"0,000";"0,000";
"01/08/2024 00:50";"0,510";"0,000";"0,438";"0,000";"0,315";"0,000";"1,263";"0,000";"0,000";"0,000";"0,000";"0,205";"0,510";"0,438";"0,315";"1,263";"0,000";"0,000";"0,000";
"01/08/2024 01:00";"0,491";"0,000";"0,444";"0,000";"0,314";"0,000";"1,249";"0,000";"0,000";"0,000";"0,000";"0,250";"0,491";"0,444";"0,314";"1,249";"0,000";"0,000";"0,000";
"01/08/2024 01:10";"0,540";"0,000";"0,453";"0,000";"0,313";"0,000";"1,307";"0,000";"0,000";"0,000";"0,000";"0,210";"0,540";"0,453";"0,313";"1,307";"0,000";"0,000";"0,000";
"01/08/2024 01:20";"0,676";"0,000";"0,410";"0,000";"0,313";"0,000";"1,399";"0,000";"0,000";"0,000";"0,000";"0,255";"0,676";"0,410";"0,313";"1,399";"0,000";"0,000";"0,000";
"01/08/2024 01:30";"0,515";"0,000";"0,444";"0,000";"0,314";"0,000";"1,273";"0,000";"0,000";"0,000";"0,000";"0,273";"0,515";"0,444";"0,314";"1,273";"0,000";"0,000";"0,000";
"01/08/2024 01:40";"0,389";"0,000";"0,457";"0,000";"0,313";"0,000";"1,160";"0,000";"0,000";"0,000";"0,000";"0,268";"0,389";"0,457";"0,313";"1,160";"0,000";"0,000";"0,000";
"01/08/2024 01:50";"0,412";"0,000";"0,423";"0,000";"0,312";"0,000";"1,147";"0,000";"0,000";"0,000";"0,000";"0,254";"0,412";"0,423";"0,312";"1,147";"0,000";"0,000";"0,000";
"01/08/2024 02:00";"0,412";"0,000";"0,413";"0,000";"0,347";"0,000";"1,172";"0,000";"0,000";"0,000";"0,000";"0,260";"0,412";"0,413";"0,347";"1,172";"0,000";"0,000";"0,000";
"01/08/2024 02:10";"0,387";"0,000";"0,449";"0,000";"0,463";"0,000";"1,298";"0,000";"0,000";"0,000";"0,000";"0,295";"0,387";"0,449";"0,463";"1,298";"0,000";"0,000";"0,000";
"01/08/2024 02:20";"0,416";"0,000";"0,444";"0,000";"0,325";"0,000";"1,186";"0,000";"0,000";"0,000";"0,000";"0,257";"0,416";"0,444";"0,325";"1,186";"0,000";"0,000";"0,000";
"01/08/2024 02:30";"0,418";"0,000";"0,406";"0,000";"0,315";"0,000";"1,139";"0,000";"0,000";"0,000";"0,000";"0,255";"0,418";"0,406";"0,315";"1,139";"0,000";"0,000";"0,000";
"01/08/2024 02:40";"0,398";"0,000";"0,435";"0,000";"0,317";"0,000";"1,150";"0,000";"0,000";"0,000";"0,000";"0,269";"0,398";"0,435";"0,317";"1,150";"0,000";"0,000";"0,000";
"01/08/2024 02:50";"0,388";"0,000";"0,446";"0,000";"0,315";"0,000";"1,149";"0,000";"0,000";"0,000";"0,000";"0,276";"0,388";"0,446";"0,315";"1,149";"0,000";"0,000";"0,000";
"01/08/2024 03:00";"0,406";"0,000";"0,423";"0,000";"0,314";"0,000";"1,143";"0,000";"0,000";"0,000";"0,000";"0,257";"0,406";"0,423";"0,314";"1,143";"0,000";"0,000";"0,000";
