"fecha";"EpR";"EmR";"EpS";"EmS";"EpT";"EmT";"EpRST";"EmRST";"Q1";"Q2";"Q3";"Q4";"EcR";"EcS";"EcT";"EcRST";"Einv_tot";"Inversor_4";"Inversor_5";
"01/09/2024 00:00";"0,374";"0,000";"0,404";"0,000";"0,228";"0,000";"1,006";"0,000";"0,000";"0,000";"0,000";"0,195";"0,374";"0,404";"0,228";"1,006";"0,000";"0,000";"0,000";
"01/09/2024 00:10";"0,337";"0,000";"0,401";"0,000";"0,227";"0,000";"0,965";"0,000";"0,000";"0,000";"0,000";"0,189";"0,337";"0,401";"0,227";"0,965";"0,000";"0,000";"0,000";
"01/09/2024 00:20";"0,410";"0,000";"0,475";"0,000";"0,290";"0,000";"1,175";"0,000";"0,006";"0,000";"0,000";"0,127";"0,410";"0,475";"0,290";"1,175";"0,000";"0,000";"0,000";
"01/09/2024 00:30";"0,342";"0,000";"0,390";"0,000";"0,231";"0,000";"0,963";"0,000";"0,000";"0,000";"0,000";"0,197";"0,342";"0,390";"0,231";"0,963";"0,000";"0,000";"0,000";
"01/09/2024 00:40";"0,377";"0,000";"0,438";"0,000";"0,227";"0,000";"1,042";"0,000";"0,000";"0,000";"0,000";"0,169";"0,377";"0,438";"0,227";"1,042";"0,000";"0,000";"0,000";
"01/09/2024 00:50";"0,400";"0,000";"0,457";"0,000";"0,281";"0,000";"1,137";"0,000";"0,008";"0,000";"0,000";"0,185";"0,400";"0,457";"0,281";"1,137";"0,000";"0,000";"0,000";
"01/09/2024 01:00";"0,341";"0,000";"0,395";"0,000";"0,228";"0,000";"0,964";"0,000";"0,000";"0,000";"0,000";"0,170";"0,341";"0,395";"0,228";"0,964";"0,000";"0,000";"0,000";
"01/09/2024 01:10";"0,340";"0,000";"0,412";"0,000";"0,227";"0,000";"0,979";"0,000";"0,000";"0,000";"0,000";"0,198";"0,340";"0,412";"0,227";"0,979";"0,000";"0,000";"0,000";
"01/09/2024 01:20";"0,439";"0,000";"0,487";"0,000";"0,290";"0,000";"1,216";"0,000";"0,008";"0,000";"0,000";"0,156";"0,439";"0,487";"0,290";"1,216";"0,000";"0,000";"0,000";
"01/09/2024 01:30";"0,337";"0,000";"0,406";"0,000";"0,228";"0,000";"0,972";"0,000";"0,000";"0,000";"0,000";"0,184";"0,337";"0,406";"0,228";"0,972";"0,000";"0,000";"0,000";
"01/09/2024 01:40";"0,340";"0,000";"0,390";"0,000";"0,228";"0,000";"0,959";"0,000";"0,000";"0,000";"0,000";"0,195";"0,340";"0,390";"0,228";"0,959";"0,000";"0,000";"0,000";
"01/09/2024 01:50";"0,399";"0,000";"0,463";"0,000";"0,280";"0,000";"1,142";"0,000";"0,000";"0,000";"0,000";"0,130";"0,399";"0,463";"0,280";"1,142";"0,000";"0,000";"0,000";
"01/09/2024 02:00";"0,371";"0,000";"0,396";"0,000";"0,228";"0,000";"0,995";"0,000";"0,000";"0,000";"0,000";"0,190";"0,371";"0,396";"0,228";"0,995";"0,000";"0,000";"0,000";
