Date;Time;Val;INV2+3;INV3;;TOTAL;
1/10/24;0:00:00;1,614;0;0;0;1,614;0
1/10/24;0:15:00;2,498;0;0;0;2,498;0
1/10/24;0:30:00;2,164;0;0;0;2,164;0
1/10/24;0:45:00;2,8175;0;0;0;2,8175;0
1/10/24;1:00:00;2,1855;0;0;0;2,1855;0
1/10/24;1:15:00;2,611;0;0;0;2,611;0
1/10/24;1:30:00;2,489;0;0;0;2,489;0
1/10/24;1:45:00;2,6;0;0;0;2,6;0
1/10/24;2:00:00;2,826;0;0;0;2,826;0
1/10/24;2:15:00;2,308;0;0;0;2,308;0
1/10/24;2:30:00;2,327;0;0;0;2,327;0
1/10/24;2:45:00;2,662;0;0;0;2,662;0
1/10/24;3:00:00;2,388;0;0;0;2,388;0
1/10/24;3:15:00;2,135;0;0;0;2,135;0
1/10/24;3:30:00;2,853;0;0;0;2,853;0
1/10/24;3:45:00;2,1735;0;0;0;2,1735;0
1/10/24;4:00:00;2,3505;0;0;0;2,3505;0
1/10/24;4:15:00;2,6125;0;0;0;2,6125;0
1/10/24;4:30:00;2,0185;0;0;0;2,0185;0
1/10/24;4:45:00;2,281;0;0;0;2,281;0
1/10/24;5:00:00;2,339;0;0;0;2,339;0
1/10/24;5:15:00;2,2145;0;0;0;2,2145;0
1/10/24;5:30:00;5,4805;0;0;0;5,4805;0
1/10/24;5:45:00;6,9925;0;0;0;6,9925;0
1/10/24;6:00:00;9,7885;0;0;0;9,7885;0
1/10/24;6:15:00;10,4515;0;0;0;10,4515;0
1/10/24;6:30:00;10,0915;0;0;0;10,0915;0
1/10/24;6:45:00;12,163;0;0;0;12,163;0
1/10/24;7:00:00;11,539;0;0;0;11,539;0
1/10/24;7:15:00;14,4025;0;0;0;14,4025;0
1/10/24;7:30:00;15,8815;0;0;0;15,8815;0
1/10/24;7:45:00;16,118;0;0;0;16,118;0
1/10/24;8:00:00;14,162;0;0;0;14,162;0
1/10/24;8:15:00;20,096;0;0,1125;0,1125;20,096;0
1/10/24;8:30:00;24,773;0;0,219;0,219;24,773;0
1/10/24;8:45:00;18,782;0;0,26825;0,26825;18,782;0
1/10/24;9:00:00;20,627;0,033;0,268583333;0,301583333;20,66;-0,033
1/10/24;9:15:00;19,756;0,111;0,167166667;0,278166667;19,867;-0,111
1/10/24;9:30:00;19,547;0,151;0,509916667;0,660916667;19,743;-0,196
1/10/24;9:45:00;16,3155;0,261;0,527;0,788;16,5765;-0,261
1/10/24;10:00:00;12,1885;0,29;0,498;0,788;12,5595;-0,371
1/10/24;10:15:00;11,3765;0,2975;0,710916667;1,008416667;11,674;-0,2975
1/10/24;10:30:00;10,6015;0,289;0,6475;0,9365;11,017;-0,4155
1/10/24;10:45:00;15,1695;0,5995;0,43525;1,03475;15,769;-0,5995
1/10/24;11:00:00;13,7355;0,464;0,686333333;1,150333333;14,441;-0,7055
1/10/24;11:15:00;15,133;0,8355;0,41;1,2455;15,9685;-0,8355
1/10/24;11:30:00;13,078;0,557;0,221083333;0,778083333;13,9395;-0,8615
1/10/24;11:45:00;13,725;0,617;0,98375;1,60075;14,342;-0,617
1/10/24;12:00:00;12,954;0,575;1,731666667;2,306666667;13,773;-0,819
1/10/24;12:15:00;12,686;0,697;1,386583333;2,083583333;13,383;-0,697
1/10/24;12:30:00;11,621;0,275;1,981916667;2,256916667;12,142;-0,521
1/10/24;12:45:00;13,234;1,247;0,88775;2,13475;14,481;-1,247
1/10/24;13:00:00;17,834;0,741;1,10475;1,84575;19,067;-1,233
1/10/24;13:15:00;12,7175;1,7025;0,703;2,4055;14,42;-1,7025
1/10/24;13:30:00;12,3825;0,898;1,429083333;2,327083333;14,066;-1,6835
1/10/24;13:45:00;8,741;0,954;1,23425;2,18825;9,695;-0,954
1/10/24;14:00:00;8,298;0,584;1,22075;1,80475;9,22;-0,922
1/10/24;14:15:00;8,2915;1,032;1,034666667;2,066666667;9,3235;-1,032
1/10/24;14:30:00;6,3455;0,927;1,26625;2,19325;7,7115;-1,366
1/10/24;14:45:00;2,223;1,367;2,110166667;3,477166667;3,59;-1,367
1/10/24;15:00:00;2,498;1,051;1,669583333;2,720583333;4,09;-1,592
1/10/24;15:15:00;2,334;1,0885;1,438416667;2,526916667;3,4225;-1,0885
1/10/24;15:30:00;2,286;1,245;1,307583333;2,552583333;3,8545;-1,5685
1/10/24;15:45:00;2,351;1,9535;0,74075;2,69425;4,3045;-1,9535
1/10/24;16:00:00;2,575;1,216;0,999666667;2,215666667;4,3915;-1,8165
1/10/24;16:15:00;2,4495;1,3845;1,340333333;2,724833333;3,834;-1,3845
1/10/24;16:30:00;2,6595;0,898;1,668166667;2,566166667;4,003;-1,3435
1/10/24;16:45:00;2,8825;0,77;0,67375;1,44375;3,6525;-0,77
1/10/24;17:00:00;2,3715;1,067;1,177166667;2,244166667;3,7145;-1,343
1/10/24;17:15:00;2,313;1,561;0,652;2,213;3,874;-1,561
1/10/24;17:30:00;2,536;0,857;0,817833333;1,674833333;3,969;-1,433
1/10/24;17:45:00;2,1125;0,886;0,63875;1,52475;2,9985;-0,886
1/10/24;18:00:00;2,2835;0,493;0,4585;0,9515;3,1135;-0,83
