Tubacer 2024
Month;Original;Optimized;Oldptimized;Pena_origin;Pena_opti;Consumption;Production;Compare;Compare old;Power_origin;Power_opti
January;6837.9;5907.9;6837.9;1250.5;128.8;0.0;0.0;13.6;;695.1;893.1
February;4220.4;3617.9;4220.4;993.3;211.4;0.0;0.0;14.3;;651.7;837.3
March;3367.1;2962.0;3367.1;736.7;139.7;0.0;0.0;12.0;;695.1;893.1
April;2789.1;2654.7;2789.1;344.2;24.2;0.0;0.0;4.8;;673.4;865.2
May;3473.8;3379.9;3473.8;351.1;65.4;0.0;0.0;2.7;;695.1;893.1
June;4425.4;4191.1;4425.4;449.6;29.7;0.0;0.0;5.3;;673.4;865.2
July;3961.7;3705.3;3961.7;448.2;0.0;0.0;0.0;6.5;;695.1;893.1
August;3797.0;3839.8;3797.0;149.0;0.0;0.0;0.0;-1.1;;695.1;893.1
September;4440.0;4194.6;4440.0;439.5;8.5;0.0;0.0;5.5;;673.4;865.2
October;4200.5;4103.0;4200.5;303.9;14.6;0.0;0.0;2.3;;695.1;893.1
Total;41513.0;38556.2;41513.0;5465.9;622.3;0.0;0.0;7.1;7.122504401306686;6842.4;8791.2


Porto Motor 2024
Month;Original;Optimized;Oldptimized;Pena_origin;Pena_opti;Consumption;Production;Compare;Compare old;Power_origin;Power_opti
January;1123.3;1094.2;1094.9;0.0;32.9;0.0;0.0;2.6;;142.0;78.0
February;1029.0;977.4;977.6;0.0;6.3;0.0;0.0;5.0;;133.1;73.1
March;972.8;916.1;916.1;0.0;5.3;0.0;0.0;5.8;;142.0;78.0
April;836.9;776.9;776.7;0.0;0.0;0.0;0.0;7.2;;137.5;75.6
May;858.7;797.9;797.8;0.0;1.2;0.0;0.0;7.1;;142.0;78.0
June;818.5;758.6;758.3;0.0;0.0;0.0;0.0;7.3;;137.5;75.6
July;786.3;724.4;724.1;0.0;0.0;0.0;0.0;7.9;;142.0;78.0
August;696.7;635.9;635.7;0.0;1.1;0.0;0.0;8.7;;142.0;78.0
September;663.7;607.1;606.9;0.0;3.3;0.0;0.0;8.5;;137.5;75.6
October;827.3;769.5;769.5;0.0;4.1;0.0;0.0;7.0;;142.0;78.0
Total;8613.3;8057.9;8057.8;0.0;54.2;0.0;0.0;6.4;-0.001254523521540406;1397.5;767.9


Porto Motor 2023
Month;Original;Optimized;Oldptimized;Pena_origin;Pena_opti;Consumption;Production;Compare;Compare old;Power_origin;Power_opti
January;1113.9;1068.4;1113.9;0.0;16.7;0.0;0.0;4.1;;142.0;77.8
February;896.4;951.0;896.4;0.0;110.8;0.0;0.0;-6.1;;128.7;70.5
March;960.4;902.7;960.4;0.0;4.5;0.0;0.0;6.0;;142.0;77.8
April;761.1;700.9;761.1;0.0;0.0;0.0;0.0;7.9;;137.5;75.3
May;817.9;755.7;817.9;0.0;0.0;0.0;0.0;7.6;;142.0;77.8
June;751.0;690.8;751.0;0.0;0.0;0.0;0.0;8.0;;137.5;75.3
July;710.3;648.1;710.3;0.0;0.0;0.0;0.0;8.8;;142.0;77.8
August;622.7;565.9;622.7;0.0;5.4;0.0;0.0;9.1;;142.0;77.8
September;631.4;571.2;631.4;0.0;0.0;0.0;0.0;9.5;;137.5;75.3
October;754.4;693.0;754.4;0.0;0.8;0.0;0.0;8.1;;142.0;77.8
November;823.4;773.9;823.4;0.0;10.7;0.0;0.0;6.0;;137.5;75.3
Total;8843.0;8321.6;8843.0;0.0;148.8;0.0;0.0;5.9;5.896259888905157;1530.6;838.3


Narontec 2024
Month;Original;Optimized;Oldptimized;Pena_origin;Pena_opti;Consumption;Production;Compare;Compare old;Power_origin;Power_opti
January;438.3;323.0;329.7;0.0;3.1;0.0;0.0;26.3;;142.0;19.8
February;416.6;305.9;309.5;0.0;0.0;0.0;0.0;26.6;;133.1;18.6
March;475.5;360.6;362.9;0.0;3.4;0.0;0.0;24.2;;142.0;19.8
