Econs;Eprod;full_date
3.412;0.0;2024-01-04 00:00:00
2.8715;0.0;2024-01-04 00:15:00
3.0695;0.0;2024-01-04 00:30:00
3.0925;0.0;2024-01-04 00:45:00
3.8265;0.0;2024-01-04 01:00:00
2.7975;0.0;2024-01-04 01:15:00
3.1245;0.0;2024-01-04 01:30:00
2.536;0.0;2024-01-04 01:45:00
2.736;0.0;2024-01-04 02:00:00
3.444;0.0;2024-01-04 02:15:00
2.902;0.0;2024-01-04 02:30:00
3.3845;0.0;2024-01-04 02:45:00
3.2115;0.0;2024-01-04 03:00:00
2.697;0.0;2024-01-04 03:15:00
2.862;0.0;2024-01-04 03:30:00
3.2375;0.0;2024-01-04 03:45:00
3.0775;0.0;2024-01-04 04:00:00
2.8705;0.0;2024-01-04 04:15:00
3.5995;0.0;2024-01-04 04:30:00
6.491;0.0;2024-01-04 04:45:00
13.538;0.0;2024-01-04 05:00:00
34.2385;0.0;2024-01-04 05:15:00
37.4145;0.0;2024-01-04 05:30:00
39.666;0.0;2024-01-04 05:45:00
36.946;0.0;2024-01-04 06:00:00
34.9985;0.0;2024-01-04 06:15:00
31.4715;0.00183333333333333;2024-01-04 06:30:00
33.653;0.201916666666667;2024-01-04 06:45:00
33.822;0.269583333333333;2024-01-04 07:00:00
37.2585;0.7515;2024-01-04 07:15:00
34.3305;0.890166666666667;2024-01-04 07:30:00
35.654;0.268333333333333;2024-01-04 07:45:00
39.986;0.669083333333333;2024-01-04 08:00:00
44.524;0.69875;2024-01-04 08:15:00
45.002;1.50208333333333;2024-01-04 08:30:00
42.336;1.13358333333333;2024-01-04 08:45:00
38.201;1.02825;2024-01-04 09:00:00
36.646;1.6465;2024-01-04 09:15:00
44.006;1.71583333333333;2024-01-04 09:30:00
41.188;1.534;2024-01-04 09:45:00
43.209;0.745416666666667;2024-01-04 10:00:00
43.17;1.42216666666667;2024-01-04 10:15:00
40.114;1.88716666666667;2024-01-04 10:30:00
39.616;1.29325;2024-01-04 10:45:00
43.358;2.41258333333333;2024-01-04 11:00:00
46.9675;2.712;2024-01-04 11:15:00
37.0505;2.06516666666667;2024-01-04 11:30:00
33.7805;2.15683333333333;2024-01-04 11:45:00
27.8405;1.75958333333333;2024-01-04 12:00:00
21.388;2.29633333333333;2024-01-04 12:15:00
19.753;1.09783333333333;2024-01-04 12:30:00
9.8635;1.21891666666667;2024-01-04 12:45:00
8.3735;1.25508333333333;2024-01-04 13:00:00
7.3205;1.97016666666667;2024-01-04 13:15:00
6.8635;0.949333333333333;2024-01-04 13:30:00
6.504;1.25733333333333;2024-01-04 13:45:00
5.722;1.29566666666667;2024-01-04 14:00:00
6.1985;0.797666666666667;2024-01-04 14:15:00
