Econs;Eprod;full_date
2.2865;0.0;2024-01-15 00:00:00
2.4195;0.0;2024-01-15 00:15:00
2.5345;0.0;2024-01-15 00:30:00
2.1325;0.0;2024-01-15 00:45:00
2.3575;0.0;2024-01-15 01:00:00
2.389;0.0;2024-01-15 01:15:00
2.402;0.0;2024-01-15 01:30:00
2.471;0.0;2024-01-15 01:45:00
2.233;0.0;2024-01-15 02:00:00
2.6045;0.0;2024-01-15 02:15:00
2.4515;0.0;2024-01-15 02:30:00
2.643;0.0;2024-01-15 02:45:00
2.121;0.0;2024-01-15 03:00:00
2.388;0.0;2024-01-15 03:15:00
2.011;0.0;2024-01-15 03:30:00
2.5065;0.0;2024-01-15 03:45:00
2.3105;0.0;2024-01-15 04:00:00
2.4995;0.0;2024-01-15 04:15:00
2.6605;0.0;2024-01-15 04:30:00
2.2915;0.0;2024-01-15 04:45:00
2.5155;0.0;2024-01-15 05:00:00
2.393;0.0;2024-01-15 05:15:00
2.48;0.0;2024-01-15 05:30:00
1.741;0.0;2024-01-15 05:45:00
1.985;0.0136666666666667;2024-01-15 06:00:00
1.9545;0.07025;2024-01-15 06:15:00
1.5535;0.161916666666667;2024-01-15 06:30:00
1.5905;0.290916666666667;2024-01-15 06:45:00
2.2365;0.849833333333333;2024-01-15 07:00:00
1.45;0.975083333333333;2024-01-15 07:15:00
1.814;0.77775;2024-01-15 07:30:00
1.6115;1.54175;2024-01-15 07:45:00
1.9725;0.718083333333334;2024-01-15 08:00:00
1.757;2.65216666666667;2024-01-15 08:15:00
1.517;2.78641666666667;2024-01-15 08:30:00
1.679;2.46891666666667;2024-01-15 08:45:00
1.863;2.67116666666667;2024-01-15 09:00:00
1.406;1.47108333333333;2024-01-15 09:15:00
1.731;2.52725;2024-01-15 09:30:00
1.693;1.66483333333333;2024-01-15 09:45:00
1.673;3.4875;2024-01-15 10:00:00
1.599;4.30658333333333;2024-01-15 10:15:00
1.526;2.24725;2024-01-15 10:30:00
1.5095;1.70116666666667;2024-01-15 10:45:00
1.6205;2.38491666666667;2024-01-15 11:00:00
1.233;2.83075;2024-01-15 11:15:00
1.606;3.844;2024-01-15 11:30:00
2.0035;3.59933333333333;2024-01-15 11:45:00
2.5045;8.08358333333333;2024-01-15 12:00:00
3.24;2.58575;2024-01-15 12:15:00
2.874;3.48141666666667;2024-01-15 12:30:00
2.772;4.06441666666667;2024-01-15 12:45:00
2.752;3.368;2024-01-15 13:00:00
2.832;4.14408333333333;2024-01-15 13:15:00
2.994;3.82375;2024-01-15 13:30:00
2.674;4.82575;2024-01-15 13:45:00
3.082;6.73858333333333;2024-01-15 14:00:00
3.074;5.19658333333333;2024-01-15 14:15:00
2.838;8.08366666666667;2024-01-15 14:30:00
3.017;7.48308333333333;2024-01-15 14:45:00
2.709;6.3985;2024-01-15 15:00:00
2.8615;8.07583333333333;2024-01-15 15:15:00
3.2445;5.04308333333333;2024-01-15 15:30:00
3.779;2.6515;2024-01-15 15:45:00
3.107;2.69483333333333;2024-01-15 16:00:00
2.145;2.59916666666667;2024-01-15 16:15:00
1.86;3.02133333333333;2024-01-15 16:30:00
1.754;2.03341666666667;2024-01-15 16:45:00
1.716;3.78166666666667;2024-01-15 17:00:00
1.218;2.96508333333333;2024-01-15 17:15:00
1.373;1.863;2024-01-15 17:30:00
1.583;2.45041666666667;2024-01-15 17:45:00
1.636;1.2645;2024-01-15 18:00:00
1.236;2.81133333333333;2024-01-15 18:15:00
1.013;3.23383333333333;2024-01-15 18:30:00
1.3645;3.11916666666667;2024-01-15 18:45:00
1.5705;0.542666666666667;2024-01-15 19:00:00
0.992;2.04616666666667;2024-01-15 19:15:00
1.229;1.432;2024-01-15 19:30:00
1.5365;1.13391666666667;2024-01-15 19:45:00
0.9795;0.89375;2024-01-15 20:00:00
1.2835;0.635166666666667;2024-01-15 20:15:00
1.0255;0.39125;2024-01-15 20:30:00
1.376;0.102583333333333;2024-01-15 20:45:00
1.81;0.00616666666666667;2024-01-15 21:00:00
1.8675;0.0;2024-01-15 21:15:00
1.9495;0.0;2024-01-15 21:30:00
2.601;0.0;2024-01-15 21:45:00
2.256;0.0;2024-01-15 22:00:00
2.5445;0.0;2024-01-15 22:15:00
2.3055;0.0;2024-01-15 22:30:00
2.4;0.0;2024-01-15 22:45:00
2.537;0.0;2024-01-15 23:00:00
2.758;0.0;2024-01-15 23:15:00
2.502;0.0;2024-01-15 23:30:00
2.2135;0.0;2024-01-15 23:45:00
2.146;0.0;2024-01-02 00:00:00
2.1775;0.0;2024-01-02 00:15:00
1.5955;0.0;2024-01-02 00:30:00
1.8875;0.0;2024-01-02 00:45:00
2.3625;0.0;2024-01-02 01:00:00
1.5665;0.0;2024-01-02 01:15:00
1.7545;0.0;2024-01-02 01:30:00
2.297;0.0;2024-01-02 01:45:00
1.817;0.0;2024-01-02 02:00:00
1.66;0.0;2024-01-02 02:15:00
2.153;0.0;2024-01-02 02:30:00
2.319;0.0;2024-01-02 02:45:00
2.102;0.0;2024-01-02 03:00:00
2.51;0.0;2024-01-02 03:15:00
2.507;0.0;2024-01-02 03:30:00
2.228;0.0;2024-01-02 03:45:00
2.44;0.0;2024-01-02 04:00:00
2.033;0.0;2024-01-02 04:15:00
2.605;0.0;2024-01-02 04:30:00
2.5535;0.0;2024-01-02 04:45:00
2.1085;0.0;2024-01-02 05:00:00
2.0975;0.0;2024-01-02 05:15:00
2.3105;0.0;2024-01-02 05:30:00
2.059;0.0;2024-01-02 05:45:00
1.922;0.0;2024-01-02 06:00:00
1.8425;0.0;2024-01-02 06:15:00
1.2165;0.0;2024-01-02 06:30:00
1.6185;0.0223333333333333;2024-01-02 06:45:00
1.4775;0.0979166666666667;2024-01-02 07:00:00
1.3575;0.276416666666667;2024-01-02 07:15:00
0.8595;0.541333333333333;2024-01-02 07:30:00
1.2135;0.899416666666667;2024-01-02 07:45:00
1.1175;1.31566666666667;2024-01-02 08:00:00
1.3645;1.76591666666667;2024-01-02 08:15:00
1.5725;2.23508333333333;2024-01-02 08:30:00
2.0745;2.70883333333333;2024-01-02 08:45:00
1.8125;3.17825;2024-01-02 09:00:00
1.5855;3.64441666666667;2024-01-02 09:15:00
1.7795;4.04308333333333;2024-01-02 09:30:00
1.9195;4.44725;2024-01-02 09:45:00
1.3075;4.82216666666667;2024-01-02 10:00:00
1.207;5.17266666666667;2024-01-02 10:15:00
1.463;5.39525;2024-01-02 10:30:00
1.1265;5.70608333333333;2024-01-02 10:45:00
0.9365;5.98558333333333;2024-01-02 11:00:00
1.2425;6.25391666666667;2024-01-02 11:15:00
1.2685;6.456;2024-01-02 11:30:00
0.9115;6.56758333333333;2024-01-02 11:45:00
0.9615;6.791;2024-01-02 12:00:00
1.229;6.86283333333333;2024-01-02 12:15:00
1.155;7.03808333333333;2024-01-02 12:30:00
0.939;7.11108333333333;2024-01-02 12:45:00
1.103;7.19566666666667;2024-01-02 13:00:00
0.948;7.19533333333333;2024-01-02 13:15:00
1.102;7.14241666666667;2024-01-02 13:30:00
1.0695;7.08116666666667;2024-01-02 13:45:00
1.0535;7.08741666666667;2024-01-02 14:00:00
0.8935;7.01816666666667;2024-01-02 14:15:00
1.0155;6.93033333333333;2024-01-02 14:30:00
0.892;6.80266666666667;2024-01-02 14:45:00
0.975;6.7525;2024-01-02 15:00:00
1.01;6.55725;2024-01-02 15:15:00
1.071;6.328;2024-01-02 15:30:00
1.4;6.1265;2024-01-02 15:45:00
1.143;5.87716666666667;2024-01-02 16:00:00
1.0765;5.60216666666667;2024-01-02 16:15:00
0.9185;5.29358333333333;2024-01-02 16:30:00
1.0805;4.96941666666667;2024-01-02 16:45:00
0.8775;4.62166666666667;2024-01-02 17:00:00
1.1055;4.18925;2024-01-02 17:15:00
0.8735;3.76175;2024-01-02 17:30:00
1.0395;3.25358333333333;2024-01-02 17:45:00
0.9725;2.79383333333333;2024-01-02 18:00:00
0.9775;2.47825;2024-01-02 18:15:00
1.0215;1.98916666666667;2024-01-02 18:30:00
0.963;1.54975;2024-01-02 18:45:00
1.098;1.10491666666667;2024-01-02 19:00:00
0.9245;0.7505;2024-01-02 19:15:00
1.0815;0.444583333333333;2024-01-02 19:30:00
0.985;0.247166666666667;2024-01-02 19:45:00
1.127;0.127083333333333;2024-01-02 20:00:00
1.0585;0.0275833333333333;2024-01-02 20:15:00
1.3975;0.0;2024-01-02 20:30:00
1.257;0.0;2024-01-02 20:45:00
2.055;0.0;2024-01-02 21:00:00
1.659;0.0;2024-01-02 21:15:00
2.085;0.0;2024-01-02 21:30:00
1.863;0.0;2024-01-02 21:45:00
1.609;0.0;2024-01-02 22:00:00
2.473;0.0;2024-01-02 22:15:00
2.292;0.0;2024-01-02 22:30:00
2.295;0.0;2024-01-02 22:45:00
2.857;0.0;2024-01-02 23:00:00
2.7095;0.0;2024-01-02 23:15:00
2.2205;0.0;2024-01-02 23:30:00
2.14;0.0;2024-01-02 23:45:00
2.7055;0.0;2024-01-21 00:00:00
2.307;0.0;2024-01-21 00:15:00
2.449;0.0;2024-01-21 00:30:00
2.344;0.0;2024-01-21 00:45:00
1.994;0.0;2024-01-21 01:00:00
1.9585;0.0;2024-01-21 01:15:00
1.5035;0.0;2024-01-21 01:30:00
2.059;0.0;2024-01-21 01:45:00
2.315;0.0;2024-01-21 02:00:00
1.563;0.0;2024-01-21 02:15:00
1.667;0.0;2024-01-21 02:30:00
2.171;0.0;2024-01-21 02:45:00
1.718;0.0;2024-01-21 03:00:00
1.4695;0.0;2024-01-21 03:15:00
2.0225;0.0;2024-01-21 03:30:00
1.934;0.0;2024-01-21 03:45:00
1.447;0.0;2024-01-21 04:00:00
2.069;0.0;2024-01-21 04:15:00
2.274;0.0;2024-01-21 04:30:00
2.5245;0.0;2024-01-21 04:45:00
2.1395;0.0;2024-01-21 05:00:00
2.301;0.0;2024-01-21 05:15:00
2.779;0.0;2024-01-21 05:30:00
2.238;0.0;2024-01-21 05:45:00
1.574;0.0;2024-01-21 06:00:00
1.671;0.0;2024-01-21 06:15:00
1.639;0.0420833333333333;2024-01-21 06:30:00
1.4815;0.0754166666666667;2024-01-21 06:45:00
1.3595;0.189333333333333;2024-01-21 07:00:00
1.6685;0.462583333333333;2024-01-21 07:15:00
1.5745;0.174083333333333;2024-01-21 07:30:00
1.474;0.0956666666666666;2024-01-21 07:45:00
1.16;0.5145;2024-01-21 08:00:00
1.174;0.44125;2024-01-21 08:15:00
0.84;1.4925;2024-01-21 08:30:00
1.396;1.09483333333333;2024-01-21 08:45:00
0.93;1.047;2024-01-21 09:00:00
1.653;1.04733333333333;2024-01-21 09:15:00
2.71;1.04925;2024-01-21 09:30:00
2.9285;2.90658333333333;2024-01-21 09:45:00
2.5095;3.15608333333333;2024-01-21 10:00:00
2.449;7.916;2024-01-21 10:15:00
2.81;1.05325;2024-01-21 10:30:00
2.7775;1.20725;2024-01-21 10:45:00
3.3955;4.23633333333333;2024-01-21 11:00:00
3.056;8.08308333333333;2024-01-21 11:15:00
3.243;2.63658333333333;2024-01-21 11:30:00
3.6905;2.66216666666667;2024-01-21 11:45:00
3.4095;6.99391666666667;2024-01-21 12:00:00
3.2195;1.56875;2024-01-21 12:15:00
3.0545;2.27783333333333;2024-01-21 12:30:00
2.4725;2.10883333333333;2024-01-21 12:45:00
2.8535;1.54666666666667;2024-01-21 13:00:00
3.146;3.3245;2024-01-21 13:15:00
2.908;2.41291666666667;2024-01-21 13:30:00
2.2075;2.75158333333333;2024-01-21 13:45:00
1.3455;3.59625;2024-01-21 14:00:00
1.333;3.67816666666667;2024-01-21 14:15:00
1.543;4.4465;2024-01-21 14:30:00
0.874;3.60783333333333;2024-01-21 14:45:00
1.007;3.97091666666667;2024-01-21 15:00:00
1.8805;3.77158333333333;2024-01-21 15:15:00
1.6565;3.21708333333333;2024-01-21 15:30:00
1.429;1.66841666666667;2024-01-21 15:45:00
1.945;2.41641666666667;2024-01-21 16:00:00
1.612;2.70075;2024-01-21 16:15:00
0.798;2.14458333333333;2024-01-21 16:30:00
1.4935;2.25483333333333;2024-01-21 16:45:00
1.5205;2.892;2024-01-21 17:00:00
0.8335;1.56275;2024-01-21 17:15:00
1.1795;1.09891666666667;2024-01-21 17:30:00
1.204;1.36841666666667;2024-01-21 17:45:00
0.811;1.69408333333333;2024-01-21 18:00:00
0.9955;3.73216666666667;2024-01-21 18:15:00
1.0705;3.38333333333333;2024-01-21 18:30:00
