Month;Original;Optimized;Pena_origin;Pena_opti;Consumption;Production;Compare
January;1200.538;766.546;0.003;140.779;0.0;0.0;0.361
February;1106.521;656.092;0.003;87.261;0.0;0.0;0.407
March;1082.187;562.15;0.003;54.734;0.0;0.0;0.481
April;970.059;421.216;0.003;7.387;0.0;0.0;0.566
May;998.412;432.827;0.003;9.186;0.0;0.0;0.566
June;969.615;414.574;0.003;1.19;0.0;0.0;0.572
July;1015.981;445.975;0.003;4.766;0.0;0.0;0.561
August;1038.235;476.962;0.003;13.498;0.0;0.0;0.541
September;999.905;456.277;0.003;12.602;0.0;0.0;0.544
October;1111.157;557.606;0.003;21.22;0.0;0.0;0.498
November;699.92;362.469;0.003;33.37;0.0;0.0;0.482
Total;11192.531;5552.693;0.037;385.995;0.0;0.0;0.504
